JobTitle,Classification,JobType,Location,Salary,Level,Date,Description
                     Team member, Help Desk and Support,"                       Ongoing,  Full-time",                      Canberra City | ACT,"                        $77,916 - $84,138",               Executive Level 1,categorized-2007-08-16,"Job Description:Duties
The Bureau provides economic analysis, research, statistics and information for the Government and the community, improving 
the understanding of the economic factors and issues affecting the transport sector and regional Australia.
Eligibility
We are seeking candidates with demonstrated strong management skills; a capacity for high level research and policy 
development, the ability to manage multiple high profile issues simultaneously; an ability to identify and assess emerging issues; 
a commitment to working in a collegiate fashion across the senior levels of government; and the capacity to lead by example."
                      Team Member, Help Desk and Support,"                        Ongoing,  Full-time",                       Sydney | NSW,"                         $56,098 - $59,484",                APS Level 5,categorized-2007-08-16,"Job Description:Duties
The Office of Transport Security is a business division within the department. The division provides policy advice to the 
Australian Government on transport security matters and has responsibility for aviation, maritime and offshore oil and gas 
security regulation, programmes and services. Additionally, the office works closely with other governments to deliver transport 
security outcomes. 
The ideal candidate will:
Understand the role of a regulator; 
Have experience with administering legislation;
Be a participative team member with a strong customer service focus; and 
be proactive and a problem solver.
Knowledge of aviation and maritime industries, activities, organisations and regulatory authorities would be advantageous.
Within OTS, teams located in each state office administer regulatory compliance matters, analyse and contribute to the 
development of regulatory policy, and assist with the assessment of aviation and maritime security programmes and plans. 
This role will report to a Team Leader in the Sydney office and promises the unique opportunity to reduce risk and enhance the 
security of the transport sector through the administration of OTSs business in a dynamic, regional operational environment.  
You may also have an opportunity to contribute to the assessment and shaping of existing programmes and the development of 
future policy.
Note: This role is based in Sydney and will cover all of New South Wales. Some work will be required outside of regular working 
hours along with intrastate, interstate and overnight travel.
Duties the applicant may be required to perform include: 
Administer aviation and maritime regulatory matters including the conduct of audits and inspections at airports and seaports; 
ensuring the compliance of aviation and maritime industry participants with the legislation and approved security programmes 
and plans;
Analyse, assess, report on and/or contribute to the development of regulatory policy and practical security issues associated 
with the application of the Maritime Transport & Offshore Facilities Security Act 2003 and the Aviation Transport Security Act 
2004:
Assess, or assist with the assessment of, aviation and maritime security programmes and plans;
Lead and/or participate in specific activities with other staff and contribute to the development and delivery of work plans;
Provide guidance on aviation and maritime security frameworks and matters to other government agencies and industry 
representatives as required;
Research and prepare letters, reports and assessments;
Participate in meetings, forums and working groups and represent the state office and OTS as required; and
Liaise and/or manage relationships with other areas within the Department, Government agencies and industry organisations 
and customers.
Eligibility
Eligibility Requirements: To be eligible for engagement, applicants will require a national security assessment to the level of 
SECRET and must be Australian Citizens. Conditions of service are covered by the DOTARS Collective Agreement 2006-2009.
The successful candidate will be required to gain an employer sponsored Certificate IV in Government (Statutory Compliance) 
and undertake other training/development activities associated with the role.
---------------------Page 426---------------------
Australian Public Service Gazette                                                                   Page: 7998 of 8437
No. PS32 - 16 Aug 2007"
                      Team Member, Help Desk and Support,"                        Ongoing,  Full-time",                       Sydney | NSW,"                         $56,098 - $59,484",                APS Level 5,categorized-2007-08-16,"Job Description:Duties
The CFO reports to the Chief Operating Officer and is responsible for managing the Departments Financial Services Branch.  
The Branch provides the full range of financial services including budget management, financial reporting, administration of the 
Departments SAP based financial and human resource management systems and operation of the Depoartments Business 
Services Centre responsible for financial and human resource accounting processing functions.
Eligibility
We are seeking candidates with demonstrated strong financial management skills; the ability to manage multiple high profile 
issues simultaneously; an ability to identify and assess emerging issues; a commitment to working in a collegiate fashion across 
the senior levels of government; and the capacity to lead by example. It is expected that the successful applicant will be a fully 
qualified Chartered Accountant or a member of CPA Australia."
                     Team Member, Help Desk and Support,"                       Ongoing,  Full-time",                      Canberra City | ACT,"                        $77,916 - $84,138",               Executive Level 1,categorized-2007-08-16,"Job Description:Duties
A new position has been created within the Maritime and Land Transport Division at the Executive Level 1 with a prime focus on 
being part of a team working on issues associated with air pollution from ships and in particular greenhouse gas emissions from 
ships.
Maritime and Land Transport Division is focused on maritime transport and integrated vehicle transport reforms to achieve 
productivity, safety, security and sustainability outcomes which enhance Australias international competitiveness.  Maritime 
Branch is responsible for all non-security maritime policy, regulatory and programme matters within the Department.  Emissions 
from ships are now an emerging issue that is attracting international attention.  The Maritime Branch is actively involved in the 
work of the International Maritime Organization (IMO) Marine Environment Protection Committee.  The work of this committee is 
increasingly directed at developing international strategies to manage emissions from ships."
                     Manager, Management,"                       Ongoing,  Full-time",                      Canberra City | ACT,"                        $89,507 - $101,496",               Executive Level 2,categorized-2007-08-16,"Job Description:Duties
A new position has been created within the Maritime and Land Transport Division at the Executive Level 2 with a prime focus on 
leading and managing a team working on issues associated with air pollution from ships, and in particular greenhouse gas 
emissions from ships.
Maritime and Land Transport Division is focused on maritime transport and integrated vehicle transport reforms to achieve 
productivity, safety, security and sustainability outcomes which enhance Australias international competitiveness.  Maritime 
Branch is responsible for all non-security maritime policy, regulatory and programme matters within the Department.  Emissions 
from ships are now an emerging issue that is attracting international attention.  The Maritime Branch is actively involved in the 
work of the International Maritime Organization (IMO) Marine Environment Protection Committee.  The work of this committee is 
increasingly directed at developing international strategies to manage air pollution from ships including emissions."
                    Team Member, Help Desk and Support,"                      Ongoing,  Full-time",                     Canberra City | ACT,"                       $60,824 - $69,587",              APS Level 6,categorized-2007-08-16,"Job Description:Duties
A new position has been created within the Maritime and Land Transport Division at the APS Level 6 with a prime focus on 
being part of a team working on issues associated with air pollution from ships and in particular greenhouse gas emissions from 
ships.
Maritime and Land Transport Division is focused on maritime transport and integrated vehicle transport reforms to achieve 
productivity, safety, security and sustainability outcomes which enhance Australias international competitiveness.  Maritime 
Branch is responsible for all non-security maritime policy, regulatory and programme matters within the Department.  Emissions 
from ships are now an emerging issue that is attracting international attention.  The Maritime Branch is actively involved in the 
work of the International Maritime Organization (IMO) Marine Environment Protection Committee.  The work of this committee is 
increasingly directed at developing international strategies to manage emissions from ships."
                     Team Member, Help Desk and Support,"                       Ongoing,  Full-time",                      Canberra City | ACT,"                        $77,916 - $84,138",               Executive Level 1,categorized-2007-08-16,"Job Description:Duties
Corporate Services is responsible for providing ministerial and parliamentary services, financial management services, human 
resource management services, information technology services, legal services, communications services and office services to 
support the Executive and business divisions. Ministerial and Parliamentary Services are seeking officers for a number of 
positions to undertake a range of duties relating to cabinet, legislation, ministerial, parliamentary and senate processes, and the 
duties of system administrator and trainer for the Departments ministerial papers system eWorks. The positions report to an 
EL2. A sound understanidng of legislation, cabinet, ministerial and parliamentary processes is require.
A Merit List will be established for these vacancies
Eligibility
This is a security assessed position and the successful applicant will need to obtain and maintain a security clearance at a 
PROTECTED level."
                     Early Intervention Officer, Management,"                       Ongoing,  Full-time",                      Canberra | ACT,"                        $55,023 - $60,525",               APS Level 5,categorized-2007-08-16,"Job Description:Duties
The Early Intervention Officer (EIO) actively manages the early intervention process to identify and achieve the best possible 
outcome for preventing and managing an injury/illness.  As EIO, it is essential you have the knowledge, experience, and skills to 
provide expert advice to managers and employees to prevent work related injuries/illnesses.
You will provide advice to managers and employees to enable them to work within the guidelines of the Safety and 
Rehabilitation Compensation Act 1988, Occupational Health and Safety Act 1991, Public Service Act 1999 and ABS policy and 
guidelines.
Your responsibilities will include: providing information and advice to employees, supervisors/managers on rehabilitation and the 
workers' compensation process, with an emphasis on early intervention; establishing and maintaining early intervention 
processes to ensure the earliest identification of employees requiring case management; assist with the completion of workers' 
compensation claim forms and associated documentation; participating with and assisting Rehabilitation Case Managers when 
consulting with relevant supervisors and/or managers when providing Rehabilitation Case Management services; providing 
advice and assistance to employees on Occupational health & Safety working practices including workstation set up and 
assessments and ergonomic equipment; effectively managing less complex compensable and non-compensable cases; 
assisting in the development and implementation of policies and procedures and undertaking projects related to the 
achievement of Health and Safety Section goals; providing regular statistical data and reports as required; monitoring costs 
associated with early intervention; maintaining and updating Case Management and Early Intervention (CASEIS) and Incident 
Reporting and Early Intervention (IREIS) databases.
Eligibility
An understanding of, and the ability to apply and interpret the Safety Rehabilitation and Compensation Act 1988, the 
Occupational Health and Safety Act 1991, the Public Service Act 1999 and related legislation particularly in regards to fitness for 
duty and medical retirement provisions is desirable.
Qualifications and/or recent work experience in injury management and rehabilitation is also desirable."
                     Executive Assistant, Management,"                       Ongoing,  Full-time",                      Canberra | ACT,"                        $49,331 - $54,236",               APS Level 4,categorized-2007-08-16,"Job Description:Duties
We are seeking an enthusiastic and reliable person who is organised and has a flair for relationship building.  You will have 
proven organisational and planning abilities, strong communication skills and sound judgment.  As an Executive Assistant in 
CSD your responsibilities will include high level support to two Senior Executives.  You will also provide general administrative 
support in relation to financial and staffing services in the division.  This may include the preparation and management of 
correspondence, coordination of conferences and forums, organisation of travel, effective diary management and other 
administrative services.
Eligibility
This is a security assessed position and the successful applicant will be required to obtain and maintain an ongoing security 
clearance."
                     Rehabilitation Case Manager, Management,"                       Ongoing,  Full-time",                      Canberra | ACT,"                        $62,586 - $68,844",               APS Level 6,categorized-2007-08-16,"Job Description:Duties
The Rehabilitation Case Manager (RCM) actively manages the rehabilitation process to achieve the best outcome for 
employees and the ABS following an injury/illness. As RCM, it is essential that you have the knowledge, experience, and skills 
to achieve effective return to work outcomes.
You will provide advice to managers and employees to enable them to work within the guidelines of the Safety and 
Rehabilitation Compensation Act 1988, Occupational Health and Safety Act 1991, Public Service Act 1999 and ABS policy and 
guidelines.
Your responsibilities will include: effectively managing compensable and non-compensable injuries/illnesses of ABS employees 
while exercising delegations within relevant legislation and policy; establishing effective communication networks and liaising 
with key stakeholders; establishing and maintaining early intervention processes to ensure the earliest identification of 
employees requiring case management; providing information and advice to employees, line managers and senior managers on 
rehabilitation, fitness for continued duty and the workers' compensation process; coordinating the completion of workers' 
compensation claim forms and associated documentation; actively managing Comcare Approved Rehabilitation Providers to 
ensure safe and durable rehabilitation outcomes; monitoring costs associated with case management; providing case 
management reports to medical personnel, Comcare, Comsuper, Administrative Appeals Tribunal and legal professionals, as 
required; maintaining high quality electronic and paper-based rehabilitation records; developing policies/guidelines and 
undertaking projects related to the achievement of Health and Safety Section goals; maintaining and updating Case 
Management and Early Intervention (CASEIS) and Incident Reporting and Early Intervention (IREIS) databases.
Eligibility
It is desirable that you have an understanding of, and the ability to apply and interpret the Safety Rehabilitation and 
Compensation Act 1988, the Occupational Health and Safety Act 1991, the Public Service Act 1999 and related legislation 
particularly in regards to fitness for duty and medical retirement provisions.
Qualifications and/or recent work experience in injury management and rehabilitation or as a Rehabilitation Case Manager 
along with relevant Comcare training in case management and rehabilitation, is highly desirable."
                     Contract Officer and Procurement Officer, Management,"                       Ongoing,  Full-time",                      Canberra | ACT,"                        $62,586 - $68,844",               APS Level 6,categorized-2007-08-16,"Job Description:Duties
In both the Contract Officer and the Procurement Officer positions, your responsibilities may involve range of duties including: 
market testing exercises; procurement of IT and corporate goods and services; contract management support; and the provision 
of advice for a range of activities including IT and corporate related procurements.  You will have the opportunity to contribute to 
projects relating to policy, adding business value to clients and projects which contribute to the ABS work program. You will 
have a client and outcome focus in providing services. You will also be self motivated, have strong communication skills, a 
flexible approach to handling projects, and a very strong team and collaborative working ethos.
Eligibility
While procurement experience is desirable, experience in related fields will be of equal value when applying for these positions."
                     Specialist Team Members, Help Desk and Support,"                       Ongoing,  Full-time",                      Sydney | NSW,"                        $43,821 - $48,202",               APS Level 3,categorized-2007-08-16,"Job Description:Duties
These positions are specialist roles within the Corporate Services (Facilities Management) and Economic Statistics Data Centre 
(Despatch Operations) Branches. 
Within either the Facilities Management Unit or Despatch and Collection Unit you will be responsible for a range of duties 
including: undertake minor repairs and maintenance to ABS fixtures and equipment; provide training to staff regarding 
operational procedures of fixtures and equipment, and OH&S; liaison with Building Management and contractors to ensure 
effective running of equipment and fixtures; effective communication and liaison with ABS staff regarding their needs and 
operational requirements; management of security access to ABS premises; and movement of stock/equipment as required, 
using a sound knowledge of OH&S practices, especially manual handling practices. Within these roles it may be necessary to 
drive ABS operational vehicles as required and inspect and maintain running sheets for ABS vehicles. Within the facilities 
management role you may be required to perform other duties associated with financial management such as purchasing, 
banking, Australian Government Credit Card (AGCC) issue and acquire knowledge of associated systems and procedures. 
Specialised DCU equipment includes: high speed laser printers, envelope/booklet printers, inserters, postage meters, folding 
machines, and industrial shredders.
Eligibility
A current Drivers licence and the ability to work extra hours occasionally on the weekend beyond standard work hours when 
required."
                     Investigator (expected employment opportunity), Security,"                       Ongoing,  Full-time",                      Melbourne | VIC,"                        $50,812 - $60,093","               APS Level 4, APS Level 5",categorized-2007-08-16,"Job Description:Duties
The occupant of this position will: respond to complaints and enquiries; conduct research and investigations involving possible 
contraventions of the Trade Practices Act 1974 (the Act), assist with litigation; participate in the maintenance of educational and 
liaison activities with business, industry, consumer, government; prepare reports and correspondence.
Eligibility
Applicants should have experience in or aptitude for investigation work.  Relevant tertiary qualifications are desirable.  Preferred 
disciplines include commerce, economics, law or accounting.  Possession of a current drivers licence is desirable."
                     Senior Investigator (expected employment opportunity), Consultants,"                       Ongoing,  Full-time",                      Melbourne | VIC,"                        $62,732 - $70,312",               APS Level 6,categorized-2007-08-16,"Job Description:Duties
As an individual or team leader in the Melbourne Office, you will take an active role in investigating more complex matters, 
including the proposed criminal cartel provisions and contribute to the ongoing development of other staff. You will have an 
appreciation of the ACCCs objectives and be committed to achieving quality outcomes at the regional and national level. You 
will assist and provide direction to other staff on a range of complex and less complex matters in a sharp, focussed and efficient 
manner. In all circumstances, you will need to add value to the team through your technical skills and initiative.
Eligibility
You will have skills in major investigations and an aptitude for the ongoing development of productive working relationships and 
be responsive to organisational change. Appropriate tertiary qualifications with preferred disciplines being commerce, 
economics, law and accounting are desirable. You should also have an understanding of industry structure, competition and 
efficiency issues."
                     Assistant Director (expected employment opportunity), Management,"                       Ongoing,  Full-time",                      Melbourne | VIC,"                        $77,941 - $86,259",               Executive Level 1,categorized-2007-08-16,"Job Description:Duties
As a senior member of the Melbourne team, you will take an active leadership role in investigations, staff management and staff 
development. As part of the leadership team you will have a strong appreciation of the ACCCs objectives and be committed to 
achieving quality outcomes at the regional and national level. You will manage complex matters, including the proposed criminal 
cartel provisions and/or provide direction to other staff members on a range of less complex matters in a sharp, focussed and 
efficient manner. You may also be required to represent the ACCC and to provide evidence during Court proceedings. In all 
circumstances, you will need to add value to the team through highly developed technical and supervisory skills, initiative and 
motivation.
Eligibility
You will have demonstrated skills in major investigations, the ongoing development of productive working relationships and be 
responsive to organisational change. Appropriate tertiary qualifications are important with preferred disciplines being commerce, 
economics, law and accounting. You should also have a sound understanding of industry structure, competition and efficiency 
issues."
                    Finance Officer, Finance,"                      Ongoing,  Full-time",                     Brisbane | QLD,"                       $52,584 - $60,276","              APS Level 4, APS Level 5",categorized-2007-08-16,"Job Description:Duties
1. On a national basis, process unclaimed monies receipts and determine claimants eligibility to payment with respect to the 
Corporations Act, Life Insurance Act and Banking Act;
2. Answer inquiries from the public and other bodies, about unclaimed monies matters;
3. Process and authorise claims for payment on a national basis;
4. Sign or countersign cheques on behalf of ASIC;
5. Act as Receiver of Public Monies for the UM program;
6. Prepare bank reconciliations and reconcile trust accounts held locally by ASIC;
7. Prepare management and expenditure reports as required.
About Australian Securities and Investments Commission
The advertised positions may be a Position of Trust, which will require the successful applicant to be an Australian citizen (or 
eligible for citizenship) and subject to successful completion of a security assessment."
                     Intelligence Support Officer, Management,"                       Ongoing,  Full-time",                      Sydney | NSW,"                        $52,584 - $60,276","               APS Level 4, APS Level 5",categorized-2007-08-16,"Job Description:Duties
Seek, capture and collate information to support ASIC's intelligence process;
Manage the storage and retrieval of hard-copy and electronic information within the intelligence team;  Devise and operate an 
intelligence/information dissemination process for ASIC;  Assist intelligence analysts by providing support to particular 
assessments and activities through an information collection and management role;  Assist in the provision of secretariat and 
logistical requirements for inter-Directorate and inter-Agency meetings;  Assist in the management of risk assessment 
processes through the collection and collation of risk data across ASIC and other directorate based duties as necessary.
Eligibility
Relevant secretarial qualifications and/or equivalent skills and work experience
About Australian Securities and Investments Commission
The advertised positions may be a Position of Trust, which will require the successful applicant to be an Australian citizen (or 
eligible for citizenship) and subject to successful completion of a security assessment."
                    Technical Documentation Specialist, Business Analysts,"                      Ongoing,  Full-time",                     Sydney | NSW,"                       $79,361 - $96,562",              Executive Level 1,categorized-2007-08-16,"Job Description:Duties
Consolidating and maintaining a central repository of system documentation for applications development.  Developing 
standards and baseline documents including: Business and System Rules; Application Context; Functional Specificatiions; Data 
and Interface Definitions and Developer Guides. Updating and maintaining repository with relevant changes based on 
enhancement and project activity. Developing and implementing change control processes and guidelines for maintaining the 
centralised repository. Communicating changes and promoting the value of maintaining documentation to application 
development teams. Supporting and development of an ongoing culture of proactive service excellence and team contribution. 
Recognising and working within (a) ASIC IT's values
(b) ASIC's corporate image guidelines and values (c) Scope outlined by the Manager SQA.
About Australian Securities and Investments Commission
The advertised positions may be a Position of Trust, which will require the successful applicant to be an Australian citizen (or 
eligible for citizenship) and subject to successful completion of a security assessment."
                     Analyst, Business Analysts,"                       Non-ongoing (Temporary),  Full-time",                      Adelaide | SA,"                        $52,584 - $60,276","               APS Level 4, APS Level 5",categorized-2007-08-16,"Job Description:Duties
1. Providing advice on the summary prosecution of contraventions of the Corporations Act 2001, and other relevant legislation.
2. Appearing before the Magistrates Court and relevant tribunals on behalf of ASIC.
3. Undertake assessment and analysis of complaints received by ASIC, including:
a) Reviewing internal ASIC databases;
b) Conducting external inquiries when necessary, including interview and examination of witnesses;
c) Preparing assessment and analysis reports that identify potential criminal, civil and administrative remedies available to ASIC.
4. Prepare submissions and correspondence for internal and external stakeholders under the broad direction of the Manager.
5. Assist in preparing briefs of evidence and appear in court to give evidence as required.
6. Provide administrative assistance as required.
About Australian Securities and Investments Commission
The advertised positions may be a Position of Trust, which will require the successful applicant to be an Australian citizen (or 
eligible for citizenship) and subject to successful completion of a security assessment."
                     Client Service Manager, Consultants,"                       Ongoing,  Full-time",                      Melbourne | VIC,"                        $51,776 - $56,218",               APS Level 4,categorized-2007-08-16,"Job Description:Duties
You will deliver Client Access and Education programs such as Tax Help, the School Education Program (SEP) and Workforce 
Education Program (WEP). This will involve providing support, guidance and training to community Tax Help volunteers, 
delivery of presentations to school students and maintaining strong client service relationships with intermediaries across 
programs. Underpinning your skills in meeting client needs is your ability to communicate effectively both verbally and in writing. 
Ideally, you have tax technical knowledge and the ability to resolve complex issues plus work effectively in a team to achieve 
common goals."
                     Project Manager, Management,"                       Ongoing,  Full-time","                      Several locations | ACT, SA, QLD, VIC, WA, NSW","                        $79,960 - $86,343",               Executive Level 1,categorized-2007-08-16,"Job Description:Duties
You will provide specialist advice on the Tax Office Workforce Capability Glossary and complex HR issues as well as implement 
programs that form the leadership and management framework.  Contributing to strategic direction and the achievement of 
business outcomes, you will build, manage and influence complex relationships with stakeholders and promote leadership and 
capability development at forums.
Having extensive experience in learning and development, you are highly practiced in designing and delivering leadership 
programs and implementing capability development and integration processes. A strong strategic planner, you have superior 
HR project management skills, in-depth knowledge of the Australian Quality Training Framework and the ability to deliver HR 
solutions.
Eligibility
Relevant tertiary qualifications or experience is highly desirable."
                     Workforce Reporting Project Officer, Management,"                       Ongoing,  Full-time",                      Brisbane | QLD,"                        $51,776 - $56,218",               APS Level 4,categorized-2007-08-16,"Job Description:Duties
Providing accurate and timely workforce reporting will be your primary role in this research and analysis based position. As a 
member of a team you will participate in project work and identify impacts of change on the business. 
Your ability to communicate with senior staff, research and analyse data and present it to a diverse client base will enable you to 
succeed in this position. Ideally, you will have knowledge of various corporate systems including SAP, the ATO HR Business 
Warehouse and Microsoft Office, particularly Excel and Access.
Eligibility
Applicants must be prepared to be security cleared at the appropriate level."
                     Director, Management,"                       Ongoing,  Full-time",                      Canberra | ACT,"                        $90,380 - $102,468",               Executive Level 2,categorized-2007-08-16,"Job Description:Duties
As one of our Directors, you will manage a section that provides authoritative advice and information on revenue, compliance 
costs or tax return data. You will identify and resolve issues, implement plans and measure outcomes for your team as well as 
liaise with high profile stakeholders.
Committed to achieving results, you are a strong leader who prepares people for change and takes a guiding and mentoring 
role in staff development. You will understand business requirements, processes and systems and have strong technical 
expertise and knowledge of taxation regulatory frameworks and data management.
Eligibility
Relevant tertiary qualifications or experience is highly desirable.
Applicants must be prepared to be security cleared at the appropriate level."
                     Director, Management,"                       Ongoing,  Full-time","                      Several locations | ACT, QLD","                        $90,380 - $102,468",               Executive Level 2,categorized-2007-08-16,"Job Description:Duties
As director you will manage, direct and coordinate teams to meet objectives within budget and ensure staff are adequately 
developed to sustain effective business operations. Responsible for managing risks, you will conduct briefings and provide 
strategic advice to senior managers and stakeholders as well as resolve complex issues where policies and procedures are 
unclear.
Strategically focused, you will have high level knowledge of emerging trends and an ability to recognise opportunities, harness 
information and mentor people to achieve results. Using your strong relationship management skills, you will liaise with a wide 
range of stakeholders, facilitating cooperation and encouraging partnerships.
Eligibility
Applicants must be prepared to be security cleared at the appropriate level."
                     Intelligence Director, Management,"                       Ongoing,  Full-time",                      Moonee Ponds or Box Hill | VIC,"                        $90,380 - $102,468",               Executive Level 2,categorized-2007-08-16,"Job Description:Duties
Leading intelligence and risk identification teams, you will work with stakeholders to ensure the appropriate analysis is 
incorporated into risk management strategies. You will identify key intelligence needs, collect and analyse data as well as 
produce reports to build the risk and intelligence capability.
To succeed in this role you will use your superior business knowledge and technical expertise to resolve complex operational, 
administration, policy and tax technical issues. Your strong leadership skills combined with your ability to communicate with 
influence will inspire your team with a sense of purpose and direction to achieve results.
Eligibility
Relevant tertiary qualifications or experience is highly desirable.
Applicants must be prepared to be security cleared at the appropriate level."
                     Project Officer, Management,"                       Ongoing,  Full-time",                      Canberra | ACT,"                        $62,372 - $71,649",               APS Level 6,categorized-2007-08-16,"Job Description:Duties
We seek a project officer to analyse proposed measures and assess their impacts on the Tax Offices administration of the tax 
system. You will provide technical, policy and administrative advice to stakeholders as well as provide support to the Assistant 
Commissioner for committees. 
To succeed in this role you must be able to comprehend complex business requirements as well as understand the design of 
business processes and systems. You will also have the ability to interpret and apply taxation legislation to resolve 
administrative and policy issues.
Eligibility
Relevant tertiary qualifications or experience would be well regarded.
Applicants must be prepared to be security cleared at the appropriate level."
                     Senior Project Officer, Consultants,"                       Ongoing,  Full-time","                      Albury and Northbridge | WA, NSW","                        $79,960 - $86,343",               Executive Level 1,categorized-2007-08-16,"Job Description:Duties
You will manage projects to assess potential administrative impacts that proposed measures may have on the tax system. 
Involved in consultative forums and new law core design teams, you will drive change through the development of productive 
working relationships and design of operational procedures.  
Expertise in applying taxation legislation and managing projects as well as the ability to design business processes with 
organisational needs in mind is a must. High level conceptual and analytical skills coupled with your strong communication skills 
will see you succeed in this role.
Eligibility
Relevant tertiary qualifications or experience would be well regarded.
Applicants must be prepared to be security cleared at the appropriate level."
                     Director Fraud Prevention Group, Management,"                       Ongoing,  Full-time",                      Belconnen | ACT,"                        $90,380 - $102,468",               Executive Level 2,categorized-2007-08-16,"Job Description:Duties
As our director you will plan, manage and coordinate the delivery of fraud prevention functions and develop fraud prevention 
practices. Leading professional teams you will provide high level advice to management as well as liaise and negotiate with 
senior stakeholders. 
Ideally, you will have substantial experience in fraud control planning and prevention initiatives as well as highly developed 
project management skills. A true leader, you will manage staff and build sustainable relationships while exercising sound 
judgement and applying strong analytical skills to achieve results.
Eligibility
Relevant tertiary qualifications or experience are desirable. Applicants must be prepared to be security cleared at the 
appropriate level."
                     Business Support Officer, Business Analysts,"                       Ongoing,  Full-time",                      Brisbane | QLD,"                        $57,750 - $61,237",               APS Level 5,categorized-2007-08-16,"Job Description:Duties
We seek a motivated individual to provide administrative support to the Business Management team and contribute to 
improvements to business processes and procedures. You will also assist in HR activities, financial administration, contract 
procurement and communication tasks.
With an ability to understand the business intent of administrative support functions, you will be able to resolve problems and 
deliver results in line with team objectives. Your excellent communication and interpersonal skills as well as your flexible attitude 
to handle changing priorities and meet deadlines will see you succeed.
Eligibility
Applicants must be prepared to be security cleared at the appropriate level."
                     Graduate Tax Officer, Management,"                       Ongoing,  Full-time","                      Various locations | ACT, SA, QLD, VIC, WA, NSW, TAS","                        ~ $47,384",               Graduate APS,categorized-2007-08-16,"Job Description:Duties
If you're a graduate or in your final year of university and are looking for a stimulating and rewarding career in a high profile 
national organisation, we are offering excellent professional development opportunities. There are jobs in law, accounting, 
commerce, economics, taxation, finance, arts/design, marketing/communication and information technology. When you join us, 
you'll undertake a 12-month program, completing different work rotations, on-the-job and formal training. Your commencement 
salary will be in excess of $47,000.
Applicants that have previously submitted an application need not re-apply.
Eligibility
Applicants must be prepared to be security cleared at the appropriate level."
                     Project Support Officer, Management,"                       Ongoing,  Full-time",                      Canberra | ACT,"                        $62,372 - $71,649",               APS Level 6,categorized-2007-08-16,"Job Description:Duties
You will provide high level research and analysis support by preparing and maintaining project documentation as well as 
contributing to project planning, test scheduling and status reporting.  In addition to representing your section at meetings you 
will liaise with a variety of stakeholders, including senior project managers, to identify risks and resolve issues.
Along with sound working knowledge of quality assurance processes, particularly testing, you will have extensive experience 
applying advanced MS Project, Word and Excel plus strong research and analysis skills. A good negotiator, you can resolve 
conflict in work situations as well as build rapport and cooperation across projects.
Eligibility
Relevant tertiary qualifications or experience are desirable.
Applicants must be prepared to be security cleared at the appropriate level."
                     Policy Analyst, Administration,"                       Ongoing,  Full-time,  Part-time",                      Canberra | ACT,"                        $57,072 - $60,726",               APS Level 5,categorized-2007-08-16,"Job Description:Duties
Undertake a range of responsibilities including projects, conduct research and analysis and provide advice on matters relevant 
to the work of a unit in Treasury.  Assist in the preparation of reports, briefings to Treasury Ministers, submissions to Cabinet, 
speeches, replies to parliamentary questions and other correspondence.
Eligibility
Relevant tertiary qualifications in Economics, Taxation, Corporate Law, Commerce, Accounting, Arts (Economics), Social or 
Public Policy.
About Department of the Treasury
Treasury's mission is to improve the wellbeing of the Australian people by providing sound and timely advice to the Government, 
based on objective and thorough analysis of options, and by assisting the Treasury Ministers in the administration of their 
responsibilities and the implementation of Government decisions.
The Department supports the principles and practices of workplace equity and diversity.  Hearing or speech impaired applicants 
are invited to phone TTY (02) 6263 3377.  Selection is made according to specific selection criteria against which applicants 
must frame their application. Employees of the Treasury must be Australian citizens and hold an existing security clearance or 
acquire a security clearance prior to commencement.
The Treasury prefers electronic lodgement of applications using the online facility on our Internet site at 
www.treasury.gov.au/content/careers.asp. Where this is not possible applications may be emailed to 
recruitment@treasury.gov.au or posted to: Recruitment Officer, The Treasury, Langton Crescent, Parkes ACT 2600.
Unless otherwise stated, selection criteria and information for applicants may be accessed three ways: (1) at 
www.treasury.gov.au/content/careers.asp; (2) requested via email at recruitment@treasury.gov.au; (3) by telephoning our 24 
hour answering service on (02) 6263 2310. Applications will be acknowledged. It is in the interest of all applicants to speak to 
the designated Contact Officer to discuss requirements of the vacancy. More information regarding the Treasury may be 
accessed at www.treasury.gov.au."
